video_id,author,comment,likes,published_at
cBpGq-vDr2Y,@hellraiser666666,11:54 - thats the cia-data-dump (CDD). a quick sync with their servers just to be up to date with your data. prove me wrong.,1,2024-11-14T17:27:02Z
cBpGq-vDr2Y,@Prankster-inc,bought an iPhone 10 XR MAX today I'm so happy to be part of the apple family,0,2024-11-05T10:47:04Z
cBpGq-vDr2Y,@TMayito,"Me sorprende como la gente se emociona por algo tan sencillo o con disque mejoras, bro eso lo tienen todos los telefonos desde hace 15 años...",0,2024-11-03T19:59:55Z
cBpGq-vDr2Y,@nicopetri9939,"Where can I get your trail loop band for the ultra you have in this video all white? Many thanks, Nico",0,2024-11-02T19:19:43Z
cBpGq-vDr2Y,@camilorosas2463,"Que si bro, que ya sabemos que te compraste un Porsche",0,2024-10-23T21:00:41Z
cBpGq-vDr2Y,@joya3570,"Mine just died on me 4days ago, only had it for 8months.

Was in a middle of a video call, tried to check time. The screen was On but tried swiping tapped on it doesn’t work but buttons still work we tried hard reset, recovery mode with mac while apple support was assisting us. (my housemates helped me)

phone was in a immaculate state, not even a scratch or never even got wet.

Paid for express replacement which they advertise 3-5 days will replace it give you a brand new one right? then now after i paid the holding amount same price for a brand new one, went to Australia Post ahead and deliver the old phone to them.

Then today i was asking for update they reminded me again yes, 3 to 5 days, then just 5hours ago they sent me a email bomb ohh hey were very sorry we don’t have any stock in whole Australia will send it by November 4th.
AMAZING Experience from apple.

it’s my first iPhone by the way always been a Samsung user but never had experience like this.

planning to sell the one they would replace me and go back to Samsung.

case closed.",0,2024-10-16T10:33:17Z
cBpGq-vDr2Y,@sreevijayy,One day🥲❤️,0,2024-10-11T16:23:27Z
cBpGq-vDr2Y,@Steve5-times,Thought this was the 16 Pro😓,1,2024-10-09T21:47:56Z
cBpGq-vDr2Y,@Pioter_na_szlaku,I always use iPhones until they start to work badly and by models it was 8plus to 13 and now 13 to 15pro I see no sense into going to 16/16pro right now,0,2024-10-08T10:26:08Z
cBpGq-vDr2Y,@E11or,Yes people expect way to much of a change over 1years. Smartphones are almost 20yrs old obviously progress and innovation will slow down,0,2024-10-03T19:46:29Z
cBpGq-vDr2Y,@sauhaardvalecha,5x telephoto came to 16 pro! Amazing how MKBHD bet his life for this XD,0,2024-10-01T15:43:01Z
